County,Population
Kings,2590516
Queens,2278029
New York,1596273
Suffolk,1525465
Nassau,1383726
Bronx,1379946
Westchester,990427
Erie,950312
Monroe,752035
Richmond,491133
Onondaga,468249
Orange,405941
Rockland,339022
Albany,315811
Dutchess,297545
Saratoga,238797
Oneida,228846
Niagara,210880
Broome,197117
Ulster,182319
Schenectady,160093
Rensselaer,159853
Chautauqua,126027
Oswego,118287
Jefferson,116637
Ontario,112707
St. Lawrence,107733
Tompkins,104777
Putnam,98045
Steuben,92599
Wayne,91125
Chemung,81426
Sullivan,79658
Clinton,78753
Cattaraugus,76439
Cayuga,74998
Madison,67097
Warren,65599
Livingston,61516
Columbia,61286
Washington,60841
Otsego,60636
Herkimer,59822
Genesee,57535
Fulton,52669
Montgomery,49623
Greene,48061
Tioga,47772
Allegany,46694
Chenango,46458
Franklin,46373
Cortland,46126
Delaware,44740
Wyoming,39666
Orleans,39318
Essex,36910
Seneca,32882
Schoharie,30063
Lewis,26699
Yates,24451
Schuyler,17650
Hamilton,5118